id,station_name,short_name,total_docks,docks_in_service,status,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4,reference_matched,station_key,station_first_trip_at,source_ids,name_variants,first_trip_archive,opening_date_status,earlier_same_name_trip_at,service_date_review_reasons
a3a7e19b-a135-11e9-9cda-0a87ae2ba916,Wells St & Hubbard St,CHI00332,42,42,In Service,41.889906,-87.634266,"{""type"":""Point"",""coordinates"":[-87.634266,41.889906]}",22,4446,37,652,36,55,42,True,divvy_0449069ed674df3e,2014-01-01 16:16:00,212 | CHI00332 | TA1307000151,Wells St & Hubbard St,Divvy_Stations_Trips_2014_Q1Q2.zip,unverified_first_trip_proxy,,
a3a7e69e-a135-11e9-9cda-0a87ae2ba916,Leavitt St & North Ave,CHI00428,23,23,In Service,41.91016,-87.68232,"{""type"":""Point"",""coordinates"":[-87.68232,41.91016]}",16,21560,25,517,11,4,1,True,divvy_dfdfd51c310043c8,2013-08-16 22:47:00,213 | CHI00428 | TA1308000005,Leavitt St & North Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7eba7-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Ohio St,CHI00417,23,23,Not In Service,41.892394453,-87.676885128,"{""type"":""Point"",""coordinates"":[-87.676885128021,41.892394452963]}",24,21560,25,519,41,4,36,True,divvy_54744698119065b4,2013-08-16 16:44:00,214 | CHI00417 | TA1308000006,Damen Ave & Grand Ave | Damen Ave & Ohio St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Madison St,CHI00317,15,15,In Service,41.88137,-87.67493,"{""type"":""Point"",""coordinates"":[-87.67493,41.88137]}",41,21184,29,90,46,28,27,True,divvy_fdc75a43602f2f9e,2013-08-15 20:28:00,13134 | 215 | CHI00317,Damen Ave & Madison St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7f5ea-a135-11e9-9cda-0a87ae2ba916,California Ave & Division St,CHI00340,19,19,In Service,41.903029,-87.697474,"{""type"":""Point"",""coordinates"":[-87.697474,41.903029]}",10,22535,25,301,49,4,26,True,divvy_cd5bb8e69b3e5d8e,2013-08-16 15:43:00,13256 | 216 | CHI00340,California Ave & Division St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7faf7-a135-11e9-9cda-0a87ae2ba916,Elizabeth St & Fulton St,CHI00280,15,15,In Service,41.88672,-87.65957,"{""type"":""Point"",""coordinates"":[-87.65957,41.88672]}",41,14917,29,63,46,44,27,True,divvy_2f253beb7222675b,2022-09-24 17:06:25,13197 | CHI00280,Elizabeth St & Fulton St,202209-divvy-tripdata.zip,unverified_first_trip_proxy,,possible_rename
a3a80009-a135-11e9-9cda-0a87ae2ba916,Wells St & 19th St,CHI00782,11,11,In Service,41.856802,-87.633879,"{""type"":""Point"",""coordinates"":[-87.633879,41.856802]}",8,21194,35,3,26,40,7,True,divvy_9fd5e7c78544e047,2013-08-23 13:47:00,218 | CHI00782 | SL-006,Wells St & 19th St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a80512-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Cortland St,CHI00388,19,19,In Service,41.915983,-87.677335,"{""type"":""Point"",""coordinates"":[-87.677335,41.915983]}",16,21560,23,179,40,4,32,True,divvy_250fd020e6ba8580,2013-08-20 14:05:00,13133 | 219 | CHI00388,Damen Ave & Cortland Ave | Damen Ave & Cortland St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a80a1e-a135-11e9-9cda-0a87ae2ba916,Clark St & Drummond Pl,CHI00385,23,23,In Service,41.931248,-87.644336,"{""type"":""Point"",""coordinates"":[-87.644336,41.931248]}",51,21190,68,794,34,16,43,True,divvy_4a47098f1f4578d5,2020-01-01 02:50:33,220 | CHI00385 | TA1307000142,Clark St & Drummond Pl,Divvy_Trips_2020_Q1.zip,unverified_first_trip_proxy,2013-06-29 12:52:00,earlier_same_name_history | name_has_multiple_locations
a3a80f32-a135-11e9-9cda-0a87ae2ba916,Milwaukee Ave & Rockwell St,CHI00289,19,19,In Service,41.92033,-87.69309,"{""type"":""Point"",""coordinates"":[-87.69309,41.92033]}",24,22535,23,294,41,1,1,True,divvy_1c4545bbd1ea4921,2013-08-22 23:13:00,13242 | 222 | CHI00289,Milwaukee Ave & Rockwell St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
